115
PAINT_SQUARE 5 1 1
PAINT_SQUARE 6 17 1
PAINT_SQUARE 7 22 1
PAINT_SQUARE 7 46 1
PAINT_SQUARE 5 60 1
PAINT_SQUARE 8 60 1
PAINT_SQUARE 2 65 1
PAINT_SQUARE 5 65 1
PAINT_SQUARE 8 65 1
PAINT_SQUARE 7 69 1
PAINT_LINE 9 4 9 16
PAINT_LINE 1 4 1 15
PAINT_LINE 9 22 9 31
PAINT_LINE 9 37 9 46
PAINT_LINE 12 51 12 59
PAINT_LINE 9 70 9 78
PAINT_LINE 9 51 9 58
PAINT_LINE 4 24 4 30
PAINT_LINE 4 38 4 44
PAINT_LINE 4 52 4 58
PAINT_LINE 5 10 5 15
PAINT_LINE 4 71 4 76
PAINT_LINE 6 74 6 79
PAINT_LINE 0 8 0 12
PAINT_LINE 5 31 9 31
PAINT_LINE 5 37 9 37
PAINT_LINE 5 51 9 51
PAINT_LINE 2 2 2 5
PAINT_LINE 8 2 8 5
PAINT_LINE 8 14 8 17
PAINT_LINE 5 22 5 25
PAINT_LINE 5 29 5 32
PAINT_LINE 6 30 6 33
PAINT_LINE 6 35 6 38
PAINT_LINE 5 36 5 39
PAINT_LINE 5 43 5 46
PAINT_LINE 5 51 5 54
PAINT_LINE 11 58 11 61
PAINT_LINE 5 69 5 72
PAINT_LINE 7 71 7 74
PAINT_LINE 5 75 5 78
PAINT_LINE 5 32 8 32
PAINT_LINE 5 36 8 36
PAINT_LINE 3 1 3 3
PAINT_LINE 7 1 7 3
PAINT_LINE 8 30 8 32
PAINT_LINE 7 31 7 33
PAINT_LINE 7 35 7 37
PAINT_LINE 8 36 8 38
PAINT_LINE 6 50 6 52
PAINT_LINE 8 50 8 52
PAINT_LINE 11 50 11 52
PAINT_LINE 13 54 13 56
PAINT_LINE 10 59 10 61
PAINT_LINE 2 3 4 3
PAINT_LINE 4 30 6 30
PAINT_LINE 7 31 9 31
PAINT_LINE 7 37 9 37
PAINT_LINE 4 38 6 38
PAINT_LINE 6 50 8 50
PAINT_LINE 7 51 9 51
PAINT_LINE 4 52 6 52
PAINT_LINE 10 59 12 59
PAINT_LINE 7 71 9 71
PAINT_LINE 4 75 6 75
PAINT_LINE 4 76 6 76
PAINT_LINE 2 14 2 15
PAINT_LINE 7 50 7 51
PAINT_LINE 5 57 5 58
PAINT_LINE 2 2 3 2
PAINT_LINE 7 2 8 2
PAINT_LINE 7 3 8 3
PAINT_LINE 1 4 2 4
PAINT_LINE 8 4 9 4
PAINT_LINE 1 5 2 5
PAINT_LINE 8 5 9 5
PAINT_LINE 1 14 2 14
PAINT_LINE 8 14 9 14
PAINT_LINE 1 15 2 15
PAINT_LINE 8 15 9 15
PAINT_LINE 8 16 9 16
PAINT_LINE 5 19 6 19
PAINT_LINE 4 24 5 24
PAINT_LINE 8 24 9 24
PAINT_LINE 4 25 5 25
PAINT_LINE 4 29 5 29
PAINT_LINE 8 30 9 30
PAINT_LINE 7 32 8 32
PAINT_LINE 6 33 7 33
PAINT_LINE 6 35 7 35
PAINT_LINE 7 36 8 36
PAINT_LINE 8 38 9 38
PAINT_LINE 4 39 5 39
PAINT_LINE 4 43 5 43
PAINT_LINE 4 44 5 44
PAINT_LINE 8 44 9 44
PAINT_LINE 11 51 12 51
PAINT_LINE 8 52 9 52
PAINT_LINE 11 52 12 52
PAINT_LINE 4 53 5 53
PAINT_LINE 4 54 5 54
PAINT_LINE 12 54 13 54
PAINT_LINE 12 55 13 55
PAINT_LINE 12 56 13 56
PAINT_LINE 4 57 5 57
PAINT_LINE 4 58 5 58
PAINT_LINE 11 58 12 58
PAINT_LINE 10 60 11 60
PAINT_LINE 10 61 11 61
PAINT_LINE 4 71 5 71
PAINT_LINE 4 72 5 72
PAINT_LINE 6 74 7 74
PAINT_LINE 5 77 6 77
PAINT_LINE 8 77 9 77
PAINT_LINE 5 78 6 78
